,Ps,Pi,Pd,Average error,SD
231,0.058,0.02,0.02,0.2828668372506302,0.5870766968685324
232,0.06,0.02,0.02,0.465030217066123,0.895713831379252
233,0.062,0.02,0.02,0.46459492510307604,0.7700601449940099
234,0.064,0.02,0.02,0.36352114453141865,0.6479569306257523
235,0.066,0.02,0.02,0.5092373031843654,0.9494492030410724
236,0.068,0.02,0.02,0.4801212909883339,0.8766453246800195
237,0.07,0.02,0.02,0.4582073054013599,0.6943958931490998
238,0.07200000000000001,0.02,0.02,0.4498909730843969,0.7487484950188409
239,0.074,0.02,0.02,0.6491993836510747,0.8511880671227181
240,0.076,0.02,0.02,0.4716930322330237,0.7519737109886939
241,0.078,0.02,0.02,0.46155243662906514,0.8875883529003634
242,0.08,0.02,0.02,0.5035942179053643,0.9506854716090158
243,0.082,0.02,0.02,0.5234111049854326,0.8323474933811889
244,0.084,0.02,0.02,0.42087743933562194,0.7359678252599168
245,0.08600000000000001,0.02,0.02,0.6595443016871582,0.9981348650719387
246,0.088,0.02,0.02,0.5921802196996733,0.9754664194709932
247,0.09,0.02,0.02,0.6513311028658966,0.9608912273889165
248,0.092,0.02,0.02,0.7353973994895435,1.0170939186413224
249,0.094,0.02,0.02,0.7174648365116281,0.9268058797017905
250,0.096,0.02,0.02,0.7510464895661635,1.1599184465442016
251,0.098,0.02,0.02,0.6114447642338154,0.8718661749375904
252,0.1,0.02,0.02,0.8255886999370585,1.0583359814238138
253,0.10200000000000001,0.02,0.02,0.8264148665097418,1.1092056311067482
254,0.10400000000000001,0.02,0.02,0.7147512496799444,0.8930655592593012
255,0.106,0.02,0.02,0.9384507801367709,1.0666429665441555
256,0.108,0.02,0.02,1.0151222115272478,1.3207041837785851
257,0.11,0.02,0.02,0.7800417525138044,1.1639224645389747
258,0.112,0.02,0.02,1.1087282772792744,1.4923906961646545
259,0.114,0.02,0.02,0.9982628162133377,1.32212148686889
260,0.116,0.02,0.02,0.7584436515795697,0.9662256218973175
261,0.11800000000000001,0.02,0.02,0.8997518731868248,1.1695060278246137
262,0.12,0.02,0.02,0.837963262586986,1.1513507970595438
263,0.122,0.02,0.02,0.9510608550657227,1.3375998299333671
264,0.124,0.02,0.02,0.8574228631192357,1.179448606825362
265,0.126,0.02,0.02,0.7775363438083734,1.1681036900810977
266,0.128,0.02,0.02,1.037682173458027,1.3783355476547485
267,0.13,0.02,0.02,1.0772154981570934,1.3772306191838388
268,0.132,0.02,0.02,0.8526220388687383,1.105986938526342
269,0.134,0.02,0.02,1.061522643636453,1.3243631149464976
270,0.136,0.02,0.02,1.0305896355356559,1.2220422185416495
271,0.138,0.02,0.02,1.0065395125668242,1.3557306579167447
272,0.14,0.02,0.02,1.1231389340874083,1.5699049197806434
273,0.14200000000000002,0.02,0.02,1.359130021017707,1.667024810171144
274,0.14400000000000002,0.02,0.02,1.0656192708659902,1.382298366134889
275,0.146,0.02,0.02,1.3218484263098325,1.6418978044826764
276,0.148,0.02,0.02,1.267943578135926,1.3792448478419956
277,0.15,0.02,0.02,1.4576500131849812,1.8192472789917116
278,0.152,0.02,0.02,0.9992923546336838,1.3953120432465813
279,0.154,0.02,0.02,1.3854595817473347,1.8163834607913667
280,0.156,0.02,0.02,1.5129730302718385,1.8254610325278102
281,0.158,0.02,0.02,1.4616960948260713,1.9284534554014603
282,0.16,0.02,0.02,1.7462881010343367,1.8382347570203623
283,0.162,0.02,0.02,1.6062607956380595,1.9448120238187006
284,0.164,0.02,0.02,1.5581163889789231,1.9447328800987513
285,0.166,0.02,0.02,1.5059467750238063,1.7617125035770012
286,0.168,0.02,0.02,1.6127357183741702,1.8014023264432915
287,0.17,0.02,0.02,1.7576197011844017,1.945537853214242
288,0.17200000000000001,0.02,0.02,1.3698594925135086,1.653264463170453
289,0.17400000000000002,0.02,0.02,2.0531725679762918,2.102472120082239
290,0.176,0.02,0.02,1.5971949319124281,1.842833525350185
291,0.178,0.02,0.02,1.7852755545663554,1.9721046106747377
292,0.18,0.02,0.02,1.8683634686648558,2.182547498275057
293,0.182,0.02,0.02,1.9755394966965167,2.3406820863956512
294,0.184,0.02,0.02,1.9815724733608215,1.9657902882823772
295,0.186,0.02,0.02,2.0007638662123894,2.1939316539587526
296,0.188,0.02,0.02,2.118698152185255,2.311422033497853
297,0.19,0.02,0.02,1.9684436812337496,2.210528578884808
298,0.192,0.02,0.02,1.975813135802606,1.9654111837835897
299,0.194,0.02,0.02,1.947888690903313,1.9582311327069053
300,0.196,0.02,0.02,2.153711882128233,2.5032206287183687
301,0.198,0.02,0.02,1.9229075008885224,2.451908301647865
302,0.2,0.02,0.02,1.7913903219115854,1.9383032584853719
